SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA CPM,MCL1.LB CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.LE CPM,MCL1.LF CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM
Melk,0,-3.37183870434203,0.00275608522611001,2.34495221958402,0.0000556388509168837,273,297,225,151,240,211,148,147,142,104,15,6,13.388,13.681,10.116,6.867,9.707,8.557,6.372,6.750,5.892,4.588,0.697,0.300
Ankrd28,0,-1.40273216836979,0.00276055278231996,5.73119572803136,0.0000558631307360823,1845,1885,1428,1282,755,738,1342,1391,2165,1567,724,485,90.476,86.834,64.204,58.304,30.537,29.930,57.776,63.872,89.831,69.136,33.629,24.231
Noc2l,0,-1.06019639309647,0.0027701336088275,6.15179147745607,0.0000561589322073643,2605,2539,2560,2226,1124,1250,2257,1799,1915,1409,718,627,127.745,116.961,115.100,101.236,45.462,50.695,97.169,82.607,79.458,62.165,33.350,31.326
C1s1,0,-1.52257718752336,0.00277083673111278,3.82848103610076,0.0000562751343159886,81,129,62,45,51,43,2370,2535,2075,2640,690,694,3.972,5.942,2.788,2.047,2.063,1.744,102.034,116.402,86.097,116.477,32.049,34.673
Ism1,0,-1.2935083275735,0.00282381931339932,3.39612444332821,0.0000579556478151526,37,67,39,22,17,17,2369,2934,2799,2535,897,954,1.814,3.086,1.753,1.001,0.688,0.689,101.991,134.724,116.137,111.845,41.664,47.663
Tmem120a,0,-1.0592394866591,0.00283626791864063,5.27870836598351,0.0000584388695109737,1118,1280,1613,1526,728,772,755,884,1033,882,431,352,54.825,58.964,72.522,69.401,29.445,31.309,32.504,40.592,42.862,38.914,20.019,17.586
Slc25a21,0,1.10815033707922,0.00284960085770726,-1.91221335406352,0.0000588184289772903,0,0,1,1,0,0,16,14,67,61,138,100,0.000,0.000,0.045,0.045,0.000,0.000,0.689,0.643,2.780,2.691,6.410,4.996
Traf5,0,1.09112745744727,0.00287654543106693,2.10567241221692,0.0000595862643103381,24,27,14,10,11,14,615,414,478,439,798,866,1.177,1.244,0.629,0.455,0.445,0.568,26.477,19.010,19.833,19.369,37.066,43.267
Tusc2,0,1.03506380433371,0.00289028144129621,4.35638849625274,0.0000600944320229705,399,386,311,315,184,244,780,863,497,497,896,837,19.566,17.781,13.983,14.326,7.442,9.896,33.581,39.627,20.622,21.928,41.618,41.818
Prrg4,0,-3.27649957122799,0.00289908658203438,4.03003293008297,0.0000605865255747279,723,1022,706,653,266,244,702,952,486,457,44,38,35.455,47.079,31.742,29.698,10.759,9.896,30.223,43.714,20.165,20.163,2.044,1.899
Mybph,0,-2.09712767526289,0.00290624698680664,1.90872936400029,0.0000622214412008709,64,60,8,3,3,5,933,1281,991,1092,233,182,3.138,2.764,0.360,0.136,0.121,0.203,40.168,58.821,41.119,48.179,10.822,9.093
Izumo4,0,1.33718022736538,0.00290624698680664,2.19331435899684,0.0000618525614427894,167,141,74,65,55,60,126,90,101,78,183,202,8.189,6.495,3.327,2.956,2.225,2.433,5.425,4.133,4.191,3.441,8.500,10.092
Mitf,0,1.63431261022436,0.00290624698680664,1.78797744839849,0.0000610268733384582,78,60,44,27,58,50,102,108,83,69,182,223,3.825,2.764,1.978,1.228,2.346,2.028,4.391,4.959,3.444,3.044,8.454,11.141
Pik3r5,0,-1.72398249861583,0.00291258306920472,-1.3966535700879,0.0000636548196441225,8,6,8,6,2,2,24,23,21,20,4,6,0.392,0.276,0.360,0.273,0.081,0.081,1.033,1.056,0.871,0.882,0.186,0.300
Daam2,0,1.31390067843264,0.00291258306920472,4.04771399260856,0.0000634946926751233,37,48,149,143,252,262,545,556,1037,1322,2795,2184,1.814,2.211,6.699,6.503,10.193,10.626,23.463,25.530,43.028,58.327,129.823,109.116
St6gal2,0,-2.50973026345295,0.00291258306920472,-5.02592760233159,0.0000627019360188486,0,0,0,0,0,0,0,0,2,4,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.176,0.000,0.000
Snph,0,1.34945527920938,0.00291258306920472,2.05252214306405,0.000063037941822019,37,46,38,31,34,19,141,89,242,287,565,574,1.814,2.119,1.709,1.410,1.375,0.771,6.070,4.087,10.041,12.662,26.243,28.678
Smad3,0,-1.04668110793693,0.00291258306920472,6.58502330996015,0.0000630221849404915,3124,3247,3312,3104,1162,1585,2064,1778,3120,2871,1182,1287,153.196,149.575,148.910,141.166,46.999,64.281,88.860,81.642,129.456,126.669,54.902,64.301
Sema3f,0,1.16212858104785,0.00292534417582618,4.95870093021598,0.0000640413475336318,735,812,245,320,160,143,1623,1265,1098,1149,2031,2251,36.043,37.405,11.015,14.553,6.471,5.800,69.874,58.086,45.559,50.694,94.336,112.463
Mab21l4,0,-5.49081899258879,0.00293372983662977,0.0981312622192558,0.0000644115004791029,102,147,225,265,1,0,185,182,56,36,0,1,5.002,6.772,10.116,12.052,0.040,0.000,7.965,8.357,2.324,1.588,0.000,0.050
Nifk,0,-1.19748679800671,0.00294135119959051,5.46451330860431,0.0000652056513399336,1359,1294,1190,1151,475,483,1427,1560,1757,1280,626,495,66.643,59.609,53.503,52.346,19.212,19.589,61.435,71.632,72.902,56.474,29.077,24.731
Ccl2,0,-1.74164595732807,0.00294135119959051,4.1524408729052,0.0000653078866697739,45,90,157,290,47,27,1198,1108,5614,4853,1533,1150,2.207,4.146,7.059,13.189,1.901,1.095,51.576,50.877,232.939,214.115,71.205,57.456
Rps6ka2,0,1.17231758549064,0.00294135119959051,2.79086509800859,0.0000654302666621307,86,112,51,54,31,36,355,226,429,331,744,707,4.217,5.159,2.293,2.456,1.254,1.460,15.284,10.377,17.800,14.604,34.558,35.323
Cldn4,0,-5.30157614298497,0.00294135119959051,7.40887367495902,0.0000653740859421991,48458,61988,57915,76464,5790,3559,1523,1551,2699,2036,57,44,2376.311,2855.517,2603.904,3477.495,234.187,144.339,65.568,71.219,111.988,89.829,2.648,2.198
Gm2027,0,-1.26264617165644,0.00297434444271443,2.37297527906483,0.0000667470741952386,151,147,87,75,55,66,210,200,229,196,93,60,7.405,6.772,3.912,3.411,2.225,2.677,9.041,9.184,9.502,8.648,4.320,2.998
Trip13,0,-1.48985989001323,0.00297434444271443,1.7296396941706,0.0000669744581824656,107,119,68,49,62,68,133,140,95,97,25,33,5.247,5.482,3.057,2.228,2.508,2.758,5.726,6.429,3.942,4.280,1.161,1.649
Rrp1b,0,-1.4588063541034,0.00297434444271443,4.87045025091252,0.0000666221770629804,1373,1351,761,639,223,299,944,1029,1205,866,356,281,67.330,62.235,34.215,29.061,9.020,12.126,40.641,47.250,49.998,38.208,16.536,14.039
Baz1a,0,-1.32378227794144,0.00300114321097604,6.97148758334822,0.0000678896789244988,3920,4385,5440,5281,903,936,3118,3747,5053,4077,1827,1303,192.231,201.998,244.587,240.174,36.523,37.960,134.237,172.055,209.661,179.878,84.861,65.100
Lax1,0,2.65968423628536,0.00303168223111031,-0.777388588943452,0.0000689348253734933,11,5,2,6,0,0,32,40,30,52,228,197,0.539,0.230,0.090,0.273,0.000,0.000,1.378,1.837,1.245,2.294,10.590,9.842
Col5a2,0,1.56502837142568,0.00303345393579348,4.42382927370442,0.0000691425864922331,62,87,79,50,48,59,5409,4982,1597,2337,4816,4891,3.040,4.008,3.552,2.274,1.941,2.393,232.869,228.764,66.263,103.109,223.695,244.362
Ccn2,0,-2.02042244228372,0.00304570753379441,7.83434512853521,0.0000701205007166784,1734,2080,8595,12383,42,61,11663,13668,81859,81508,14231,20653,85.033,95.817,386.438,563.165,1.699,2.474,502.117,627.609,3396.531,3596.147,661.005,1031.856
Egf,0,1.51640140251484,0.00304570753379441,0.735427360030543,0.0000699384668695384,14,17,38,46,1065,1071,15,12,11,9,26,24,0.687,0.783,1.709,2.092,43.076,43.435,0.646,0.551,0.456,0.397,1.208,1.199
Ckap2,0,-1.51254434422601,0.00304570753379441,3.45674242094303,0.0000703505151953998,269,299,292,181,145,121,428,388,509,405,125,147,13.191,13.774,13.129,8.232,5.865,4.907,18.426,17.816,21.120,17.869,5.806,7.344
Slc39a4,0,-2.18147201568402,0.00307761907520461,2.74831246659889,0.0000713381661348433,234,225,1984,1871,70,47,189,215,122,96,19,21,11.475,10.365,89.202,85.091,2.831,1.906,8.137,9.872,5.062,4.236,0.883,1.049
Kantr,0,1.09091068443299,0.0030912354726467,1.02885472433479,0.0000719363298836509,39,39,19,22,18,19,74,58,75,63,114,138,1.913,1.797,0.854,1.001,0.728,0.771,3.186,2.663,3.112,2.780,5.295,6.895
Fdft1,0,1.40629943049752,0.00311604064788146,4.97671505545321,0.0000728020093235486,784,866,264,237,639,594,963,789,637,767,1869,1321,38.446,39.893,11.870,10.778,25.846,24.090,41.459,36.229,26.431,33.840,86.812,65.999
Diaph3,0,-2.40386241324534,0.00313079555138522,2.91375933744442,0.0000738378876499476,364,389,150,128,166,144,259,331,280,213,52,29,17.850,17.920,6.744,5.821,6.714,5.840,11.151,15.199,11.618,9.398,2.415,1.449
Bcor,0,-1.28926190344999,0.00313079555138522,6.49053939797008,0.0000737863851035506,1146,951,2099,2487,921,758,4286,3384,5183,4828,1752,1732,56.198,43.808,94.373,113.106,37.252,30.741,184.522,155.387,215.055,213.012,81.377,86.533
Ptprt,0,-1.93540259293352,0.0031564859822769,0.531602898320447,0.0000746760545496172,2,6,2,2,24,25,173,200,305,360,87,61,0.098,0.276,0.090,0.091,0.971,1.014,7.448,9.184,12.655,15.883,4.041,3.048
Parp4,0,1.08602601645913,0.00317674278647025,5.01668542354998,0.0000755714580197415,1233,1143,685,770,359,397,962,804,513,542,923,981,60.465,52.653,30.798,35.019,14.520,16.101,41.416,36.918,21.286,23.913,42.872,49.012
Adamts1,0,1.51461578430054,0.00317674278647025,7.74343680880968,0.0000755747931715729,1704,2059,407,443,285,385,55599,43471,16949,22689,45908,49457,83.562,94.849,18.299,20.147,11.527,15.614,2393.657,1996.107,703.256,1001.043,2132.347,2470.949
Prr36,0,-1.00551910353741,0.00317674278647025,1.007938647499,0.0000756228184571269,134,147,14,14,5,9,94,96,126,109,48,51,6.571,6.772,0.629,0.637,0.202,0.365,4.047,4.408,5.228,4.809,2.230,2.548
Frmd6,0,1.36828652312344,0.003179813836249,7.00719520134469,0.0000758351830563077,1646,1513,2031,2304,233,246,9445,6378,6262,6491,13133,14940,80.717,69.697,91.315,104.783,9.424,9.977,406.628,292.866,259.826,286.384,610.005,746.426
Cdh1,0,-1.15556577335696,0.00318880103087701,8.11382610701965,0.0000764750995453746,16127,18994,14131,13893,2144,1904,5333,6657,7146,7026,2841,2578,790.845,874.971,635.341,631.838,86.718,77.219,229.597,305.677,296.505,309.988,131.960,128.801
Mgst1,0,-1.32278024296751,0.00320246922596014,7.87682977446869,0.000077177870525181,8411,8125,19194,20334,14729,16337,1674,2142,3580,3617,1273,1176,412.463,374.283,862.977,924.767,595.741,662.563,72.069,98.357,148.543,159.583,59.129,58.755
Rgma,0,1.10530091623777,0.00320246922596014,3.62417741675376,0.0000771072639967885,174,181,137,105,76,90,455,330,614,565,969,1203,8.533,8.338,6.160,4.775,3.074,3.650,19.589,15.153,25.476,24.928,45.008,60.104
Emp3,0,2.27590211445382,0.00320410744908315,0.896072533129695,0.0000773352399499079,19,33,6,3,5,4,215,206,73,136,464,355,0.932,1.520,0.270,0.136,0.202,0.162,9.256,9.459,3.029,6.000,21.552,17.736
Acot1,0,-2.11243194461449,0.00321047366026522,5.66698427590155,0.0000781630714351918,2259,2587,7855,9689,535,414,961,851,1272,953,185,255,110.778,119.172,353.167,440.645,21.639,16.790,41.373,39.076,52.778,42.047,8.593,12.740
S100a4,0,1.37737105053902,0.00321047366026522,0.51229737261486,0.0000781073016948474,25,29,5,2,1,0,99,88,216,268,575,487,1.226,1.336,0.225,0.091,0.040,0.000,4.262,4.041,8.962,11.824,26.708,24.331
Atp8b5,0,1.96591037397042,0.00321047366026522,-0.386052388781617,0.0000781358240641671,44,50,18,21,22,23,5,6,10,5,24,26,2.158,2.303,0.809,0.955,0.890,0.933,0.215,0.276,0.415,0.221,1.115,1.299
Mrto4,0,-1.02585902413364,0.00321047366026522,3.87128127532426,0.0000778047937580475,483,475,366,285,164,169,580,464,534,408,191,200,23.686,21.881,16.456,12.961,6.633,6.854,24.970,21.306,22.157,18.001,8.872,9.992
Mrto4-ps2,0,-1.0786367757202,0.00322866851258514,3.93091740081182,0.0000789971875664711,566,494,458,358,199,189,504,496,471,397,187,162,27.756,22.756,20.592,16.281,8.049,7.665,21.698,22.775,19.543,17.516,8.686,8.094
P2rx6,0,2.69846546958325,0.0032539356162969,0.0521630651285913,0.0000800942980721375,68,60,8,3,17,31,26,25,12,10,60,66,3.335,2.764,0.360,0.136,0.688,1.257,1.119,1.148,0.498,0.441,2.787,3.297
Trpm3,0,-2.23494126784606,0.00326212365830596,1.20670542788712,0.0000804158670688764,8,7,5,1,1,4,531,880,1662,1546,288,291,0.392,0.322,0.225,0.045,0.040,0.162,22.861,40.408,68.960,68.210,13.377,14.539
Azin2,0,1.57095452882037,0.00327110894331985,2.42186646885511,0.000080834921530767,130,115,22,24,22,11,280,330,259,322,828,637,6.375,5.298,0.989,1.091,0.890,0.446,12.055,15.153,10.747,14.207,38.459,31.826
Sgcg,0,4.80375709664161,0.00328954799800129,-4.52782094203994,0.0000816970785772424,0,0,0,0,0,0,0,2,0,0,10,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.000,0.464,0.650
Amer2,0,-1.47133380466544,0.00328994882999238,-1.99135332488207,0.0000820496613722853,18,20,0,0,0,0,52,59,19,19,5,6,0.883,0.921,0.000,0.000,0.000,0.000,2.239,2.709,0.788,0.838,0.232,0.300
Tmem132c,0,-2.83342531919525,0.00328994882999238,-2.75027484817807,0.0000819737545189755,1,3,0,0,0,0,13,8,44,41,7,3,0.049,0.138,0.000,0.000,0.000,0.000,0.560,0.367,1.826,1.809,0.325,0.150
Zfp874a,0,1.03536258100126,0.00329293097392238,2.01295750318424,0.0000822657246879317,141,148,107,88,45,39,121,85,77,65,125,123,6.914,6.818,4.811,4.002,1.820,1.582,5.209,3.903,3.195,2.868,5.806,6.145
Sdad1,0,-1.15790819014486,0.00331782353012533,5.09411068621753,0.0000833466679330472,1191,1088,815,703,319,359,1093,1157,1463,1083,540,427,58.405,50.119,36.643,31.972,12.903,14.560,47.056,53.127,60.703,47.782,25.082,21.334
Gm13889,0,-1.74177740329228,0.00333180100149547,5.46399595487159,0.0000842174946844029,2389,2736,2613,2697,183,118,1069,1471,1701,1706,468,400,117.153,126.036,117.483,122.656,7.402,4.786,46.023,67.546,70.579,75.269,21.738,19.985
Creb3l4,0,1.10053898594245,0.0033447399921446,1.8513520463303,0.0000847906786337846,104,124,46,62,35,30,91,80,93,93,165,175,5.100,5.712,2.068,2.820,1.416,1.217,3.918,3.673,3.859,4.103,7.664,8.743
Gm5795,0,-1.35230542651292,0.00337001240581118,-4.53985343448453,0.00008621501334915,0,0,0,0,7,9,0,0,1,1,0,0,0.000,0.000,0.000,0.000,0.283,0.365,0.000,0.000,0.041,0.044,0.000,0.000
Plekhh1,0,-2.34822519375846,0.00339359380694601,3.37363079672231,0.0000875274755755971,1030,973,254,222,67,81,441,537,399,269,66,45,50.510,44.822,11.420,10.096,2.710,3.285,18.986,24.658,16.555,11.868,3.066,2.248
Saxo2,0,1.77505323864494,0.00339800639283768,-1.39092032979544,0.0000878913313280433,25,21,3,2,3,3,11,14,6,6,17,20,1.226,0.967,0.135,0.091,0.121,0.122,0.474,0.643,0.249,0.265,0.790,0.999
Lmnb1,0,-1.80656012386541,0.00341837209224642,5.37233474972827,0.0000886696466033971,1507,1583,1475,968,402,358,1459,1697,1887,1245,377,370,73.901,72.922,66.317,44.024,16.260,14.519,62.813,77.923,78.296,54.930,17.511,18.486
Rrm2,0,-1.79950578041639,0.00342219287533031,4.9218293558029,0.0000891258166863017,573,606,643,378,1249,1011,1028,1062,1204,965,301,230,28.099,27.916,28.910,17.191,50.518,41.002,44.258,48.765,49.957,42.576,13.981,11.491
Naf1,0,-1.03429837665051,0.00342219287533031,4.64368934887548,0.0000895242332079859,823,649,389,332,255,258,980,1003,1109,988,449,421,40.359,29.897,17.490,15.099,10.314,10.463,42.191,46.056,46.015,43.591,20.855,21.034
Fbxo2,0,1.03696592953766,0.00343546128743624,0.951089139534041,0.0000903140309221888,103,105,11,12,7,10,79,62,64,74,120,120,5.051,4.837,0.495,0.546,0.283,0.406,3.401,2.847,2.656,3.265,5.574,5.995
Proser2,0,-1.29260803221905,0.00344015255475932,3.51948515304419,0.0000907535001936212,367,451,820,853,351,364,94,83,303,249,113,80,17.997,20.776,36.868,38.793,14.197,14.762,4.047,3.811,12.572,10.986,5.249,3.997
Cdca7,0,-1.73296935131202,0.00345965367103523,3.00779630284651,0.0000917771182463078,313,273,82,47,63,106,458,396,513,400,113,119,15.349,12.576,3.687,2.138,2.548,4.299,19.718,18.184,21.286,17.648,5.249,5.945
Nat2,0,1.9421605790992,0.00347616901068919,0.119117116411493,0.0000925989316655863,56,43,19,19,18,15,14,16,13,18,48,54,2.746,1.981,0.854,0.864,0.728,0.608,0.603,0.735,0.539,0.794,2.230,2.698
Creg2,0,-4.29417747710186,0.0034842558541154,-2.86228548382343,0.0000931887868000487,0,1,6,4,0,0,26,16,19,20,0,1,0.000,0.046,0.270,0.182,0.000,0.000,1.119,0.735,0.788,0.882,0.000,0.050
Nop16,0,-1.19697131861343,0.0034842558541154,4.29906773307938,0.0000932352204907209,623,634,501,453,207,207,732,604,842,561,278,235,30.551,29.206,22.525,20.602,8.372,8.395,31.514,27.735,34.937,24.751,12.913,11.741
Ccdc148,0,1.08097188705288,0.0034842558541154,-0.344503199824935,0.0000934553338110352,25,30,9,9,4,5,22,21,25,22,49,37,1.226,1.382,0.405,0.409,0.162,0.203,0.947,0.964,1.037,0.971,2.276,1.849
Dctpp1,0,-1.67017542632976,0.0034842558541154,3.64583700077543,0.000093359765764181,550,573,547,396,233,241,459,406,315,211,71,67,26.971,26.396,24.594,18.010,9.424,9.774,19.761,18.643,13.070,9.309,3.298,3.347
Gm5458,0,1.81713386747827,0.00350363241737495,-4.59051373858157,0.0000942328745392063,0,0,0,0,8,5,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.324,0.203,0.000,0.000,0.000,0.000,0.046,0.050
Gm20300,0,1.16587650385414,0.00351168456671748,2.51896513491139,0.0000947078548660331,109,121,106,119,109,105,92,94,120,148,240,268,5.345,5.574,4.766,5.412,4.409,4.258,3.961,4.316,4.979,6.530,11.148,13.390
Pmepa1,0,-2.29117478938325,0.00351168456671748,7.46483211126793,0.0000946750331839274,8195,8420,1716,1646,758,916,14228,19716,10213,11019,2545,1332,401.871,387.873,77.153,74.858,30.659,37.149,612.546,905.322,423.762,486.160,118.211,66.549
Snord104,0,-1.39443687307162,0.00351215134600816,0.605102095927756,0.0000949788895587033,57,52,46,42,8,9,54,61,71,52,18,21,2.795,2.395,2.068,1.910,0.324,0.365,2.325,2.801,2.946,2.294,0.836,1.049
Trmt61a,0,-1.72040437544541,0.00351319838518848,3.67355056139219,0.0000951625939415754,461,435,352,239,185,210,467,332,518,397,129,106,22.607,20.039,15.826,10.869,7.483,8.517,20.105,15.245,21.493,17.516,5.992,5.296
Shc4,0,-1.05573921175228,0.00352922481519127,0.729385925004162,0.0000958301598149733,16,13,16,12,17,11,45,52,227,187,79,90,0.785,0.599,0.719,0.546,0.688,0.446,1.937,2.388,9.419,8.250,3.669,4.497
Gm10782,0,1.71256084593677,0.00354346276684317,-3.16308979477864,0.0000963471424517863,0,0,0,0,0,0,14,15,5,8,20,17,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.689,0.207,0.353,0.929,0.849
Cxadr,0,-1.01762125546125,0.00358766555484481,7.93443877396778,0.0000976810225021214,11615,12689,6216,6002,1142,1013,8622,10071,10290,8347,4348,3493,569.583,584.527,279.476,272.964,46.190,41.083,371.196,462.441,426.957,368.271,201.957,174.516
Dlk1,0,-2.6775941429169,0.00360213446967179,-1.11064108726224,0.0000983956708335552,7,4,3,2,0,0,62,102,124,108,16,14,0.343,0.184,0.135,0.091,0.000,0.000,2.669,4.684,5.145,4.765,0.743,0.699
1700036A12Rik,0,2.07102594892547,0.00360213446967179,-3.23696432874051,0.0000984725674589256,0,0,0,0,0,0,12,7,7,5,28,18,0.000,0.000,0.000,0.000,0.000,0.000,0.517,0.321,0.290,0.221,1.301,0.899
Cavin2,0,1.13153759477105,0.00360858023791617,5.50930503046741,0.0000997053860606737,936,940,276,345,72,65,4060,4455,2493,2833,4721,5195,45.900,43.302,12.409,15.690,2.912,2.636,174.792,204.565,103.441,124.992,219.282,259.550
Ivns1abp,0,-1.1560371079044,0.00360858023791617,8.00074777534978,0.000100042087776113,8596,7952,9114,7164,4491,4689,8338,7886,7502,4960,2410,2258,421.536,366.314,409.773,325.811,181.647,190.167,358.969,362.110,311.276,218.836,111.940,112.813
Vtcn1,0,2.86026354932013,0.00360858023791617,4.34703485163279,0.0000999633788944303,1257,1246,372,554,84,79,436,395,177,426,1657,1683,61.641,57.398,16.725,25.195,3.398,3.204,18.771,18.138,7.344,18.795,76.965,84.085
Nsdhl,0,1.24927240791434,0.00360858023791617,4.6060333714033,0.000100174044300002,541,415,352,378,997,966,478,345,476,391,893,857,26.530,19.117,15.826,17.191,40.325,39.177,20.579,15.842,19.750,17.251,41.478,42.817
Twistnb,0,-1.10028223070616,0.00362005822669638,3.88958345463666,0.000101042509111988,402,384,379,321,191,191,461,490,600,444,232,181,19.714,17.689,17.040,14.599,7.725,7.746,19.847,22.500,24.895,19.589,10.776,9.043
Tcte1,0,-1.72309214336167,0.0036718603118737,-4.73056755931294,0.000103756161724824,0,0,0,0,0,0,3,2,2,1,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.092,0.083,0.044,0.000,0.000
Rrs1,0,-1.27979794386667,0.00370221763116567,5.47787241696498,0.000105052824524123,1207,1071,1076,948,383,409,1691,1808,2127,1653,793,544,59.190,49.336,48.378,43.114,15.491,16.587,72.801,83.020,88.254,72.931,36.833,27.179
A830009L08Rik,0,4.40326657986979,0.00370221763116567,-2.65356501184409,0.000105566797529317,1,0,0,0,0,0,21,22,2,9,104,72,0.049,0.000,0.000,0.000,0.000,0.000,0.904,1.010,0.083,0.397,4.831,3.597
Galnt2,0,1.13535562812826,0.00370221763116567,5.55603437589264,0.00010549344630794,873,869,605,582,540,519,2443,1915,982,1250,2058,2075,42.811,40.031,27.201,26.469,21.841,21.049,105.176,87.933,40.746,55.150,95.591,103.670
Cacnb3,0,1.01796821107074,0.00371103700711167,5.70306607869032,0.000106052228016782,1346,1544,1094,1201,297,301,1173,928,1583,1777,2746,3038,66.006,71.125,49.187,54.620,12.013,12.207,50.500,42.612,65.683,78.402,127.547,151.783
Grpel2,0,-1.18281577730404,0.00372187070172067,3.98924332923711,0.000106675642100166,974,920,1116,1145,205,191,167,180,414,350,166,122,47.764,42.380,50.176,52.073,8.292,7.746,7.190,8.265,17.178,15.442,7.710,6.095
Gcc1,0,1.00142712334336,0.00372187070172067,7.37921655879177,0.000106582548672517,1978,2433,1378,1139,1216,1455,13847,10111,6520,5544,9886,10629,96.998,112.078,61.956,51.800,49.183,59.009,596.143,464.278,270.531,244.602,459.188,531.041
Deptor,0,1.17081507457326,0.00372661938375885,3.9479222077425,0.00010714032453346,170,196,185,149,700,797,412,336,299,349,698,544,8.337,9.029,8.318,6.776,28.313,32.323,17.737,15.428,12.406,15.398,32.421,27.179
Cmklr1,0,1.71288753739363,0.00373973931698406,3.29052330916461,0.00010888661315736,104,130,93,95,35,37,566,484,336,560,1150,1253,5.100,5.989,4.181,4.320,1.416,1.501,24.368,22.224,13.941,24.707,53.416,62.602
Zfp750,0,-4.09897822535006,0.00379612132759759,3.06277785775495,0.000111317881382511,1292,1608,2434,2604,698,628,54,54,99,65,6,2,63.358,74.074,109.435,118.427,28.232,25.469,2.325,2.480,4.108,2.868,0.279,0.100
Yrdc,0,-1.00618540055488,0.00382682343241331,5.83945026001861,0.000112781396275178,1649,1584,1778,1268,947,959,1937,1830,1752,1363,708,606,80.865,72.968,79.940,57.667,38.303,38.893,83.392,84.030,72.695,60.136,32.885,30.277
Ets1,0,-1.80038386592254,0.00382839260110258,5.50433717157766,0.000113050197856341,1427,1888,362,524,66,51,2403,3117,7411,5275,1742,1341,69.978,86.972,16.276,23.831,2.669,2.068,103.454,143.127,307.501,232.734,80.913,66.998
Egfl6,0,1.97819447690353,0.00382839260110258,1.61102831794101,0.000113109358647683,2,6,12,18,2,3,439,807,571,491,1770,1787,0.098,0.276,0.540,0.819,0.081,0.122,18.900,37.056,23.692,21.663,82.213,89.281
Rubcn,0,1.08782936117856,0.00383769147920779,5.19642936401854,0.000113666494012372,816,842,530,661,791,924,880,804,678,702,1200,1296,40.015,38.787,23.829,30.062,31.993,37.474,37.886,36.918,28.132,30.972,55.738,64.750
Bag4,0,1.43487797113754,0.00385082264267169,3.26611634484532,0.000114197102542161,353,312,204,160,205,222,349,280,106,100,211,268,17.311,14.372,9.172,7.277,8.292,9.003,15.025,12.857,4.398,4.412,9.801,13.390
Tenm1,0,2.97920281125516,0.00385765615716341,-3.52891188998179,0.000114683622465434,16,20,3,1,0,0,1,1,0,0,4,2,0.785,0.921,0.135,0.045,0.000,0.000,0.043,0.046,0.000,0.000,0.186,0.100
Fst,0,-1.68492693832273,0.00389450334438108,4.50811952491917,0.000116065628203712,145,320,32,40,7,2,11280,14127,13702,11200,3704,2904,7.111,14.741,1.439,1.819,0.283,0.081,485.628,648.685,568.530,494.146,172.044,145.088
Gjb6,0,-2.75542603919514,0.00393231335931133,1.65591643241517,0.000117728793283202,16,22,2808,2506,617,622,3,8,95,58,9,9,0.785,1.013,126.250,113.970,24.956,25.226,0.129,0.367,3.942,2.559,0.418,0.450
Klf2,0,1.89241853400529,0.00395412126870138,6.14054948650198,0.00011856980882268,3470,3917,496,695,1068,1126,2326,1642,1046,1005,2652,3963,170.164,180.439,22.301,31.608,43.197,45.666,100.139,75.398,43.401,44.341,123.181,197.998
Smim22,0,-2.60977175156453,0.00403529467309295,1.55364266092339,0.000121746261155165,446,425,564,512,376,421,5,10,29,27,4,3,21.871,19.578,25.358,23.285,15.208,17.074,0.215,0.459,1.203,1.191,0.186,0.150
Rpa1,0,1.07635782313318,0.00405919672603226,5.55830986112964,0.000122915445951821,998,977,795,503,752,729,1306,1015,1194,1200,2206,2090,48.940,45.006,35.744,22.876,30.416,29.565,56.226,46.607,49.542,52.944,102.465,104.420
Ehd2,0,1.0350926505084,0.00406680459424664,6.02940439918474,0.000123482912403362,930,1136,124,148,75,68,5094,3894,10260,12154,20345,18618,45.606,52.331,5.575,6.731,3.034,2.758,219.308,178.805,425.713,536.237,944.990,930.184
Mylk2,0,-2.08916603587191,0.00411008627353372,-2.53724015930965,0.000125212533002904,58,67,5,4,4,2,2,2,2,2,0,0,2.844,3.086,0.225,0.182,0.162,0.081,0.086,0.092,0.083,0.088,0.000,0.000
Psat1,0,-1.32485076144556,0.00411601844109857,6.02213199250336,0.000125847578076931,1233,1340,2199,1401,1176,1006,886,831,4322,3044,1217,1251,60.465,61.728,98.869,63.716,47.565,40.799,38.144,38.158,179.330,134.302,56.528,62.502
